Year,Source,Value,Growth (%)
1990-08-01 00:00:00,Unnamed: 1,201.445,14.05689114359805
1990-09-01 00:00:00,Unnamed: 1,196.099,-2.653826106381396
1990-10-01 00:00:00,Unnamed: 1,190.414,-2.899045890086127
1990-11-01 00:00:00,Unnamed: 1,177.629,-6.7143172245738185
1990-12-01 00:00:00,Unnamed: 1,202.362,13.923965118308379
1991-01-01 00:00:00,Unnamed: 1,221.773,9.592215929868253
1991-02-01 00:00:00,Unnamed: 1,161.586,-27.139011511771038
1991-03-01 00:00:00,Unnamed: 1,165.815,2.6171821816246332
1991-04-01 00:00:00,Unnamed: 1,142.348,-14.152519374001137
1991-05-01 00:00:00,Unnamed: 1,156.299,9.800629443336039
1991-06-01 00:00:00,Unnamed: 1,161.835,3.541929250986886
1991-07-01 00:00:00,Unnamed: 1,163.21,0.8496307967992056
1991-08-01 00:00:00,Unnamed: 1,201.887,23.69769009251883
1991-09-01 00:00:00,Unnamed: 1,220.843,9.38941090808223
1991-10-01 00:00:00,Unnamed: 1,204.17,-7.549707258097382
1991-11-01 00:00:00,Unnamed: 1,194.094,-4.935103100357541
1991-12-01 00:00:00,Unnamed: 1,220.221,13.4610034313271
1992-01-01 00:00:00,Unnamed: 1,225.223,2.271354684612281
1992-02-01 00:00:00,Unnamed: 1,179.107,-20.475706299978246
1992-03-01 00:00:00,Unnamed: 1,169.584,-5.3169334531872
1992-04-01 00:00:00,Unnamed: 1,162.501,-4.176691197282767
1992-05-01 00:00:00,Unnamed: 1,136.512,-15.993132349954776
1992-06-01 00:00:00,Unnamed: 1,178.938,31.07858649789028
1992-07-01 00:00:00,Unnamed: 1,196.218,9.656976159340115
1992-08-01 00:00:00,Unnamed: 1,216.248,10.208033921454707
1992-09-01 00:00:00,Unnamed: 1,199.5,-7.744811512707628
1992-10-01 00:00:00,Unnamed: 1,219.054,9.8015037593985
1992-11-01 00:00:00,Unnamed: 1,220.592,0.7021099820135657
1992-12-01 00:00:00,Unnamed: 1,209.993,-4.804797998114174
1993-01-01 00:00:00,Unnamed: 1,212.917,1.392427366626503
1993-02-01 00:00:00,Unnamed: 1,190.799,-10.388085498104893
1993-03-01 00:00:00,Unnamed: 1,202.466,6.114811922494345
1993-04-01 00:00:00,Unnamed: 1,176.447,-12.851046595477767
1993-05-01 00:00:00,Unnamed: 1,141.057,-20.057014287576447
1993-06-01 00:00:00,Unnamed: 1,142.881,1.2930942810353452
1993-07-01 00:00:00,Unnamed: 1,159.077,11.335307003730378
1993-08-01 00:00:00,Unnamed: 1,215.249,35.31120149361631
1993-09-01 00:00:00,Unnamed: 1,197.49,-8.250444833657756
1993-10-01 00:00:00,Unnamed: 1,203.03,2.8052053268519783
1993-11-01 00:00:00,Unnamed: 1,209.594,3.233019750775745
1993-12-01 00:00:00,Unnamed: 1,208.767,-0.39457236371269744
1994-01-01 00:00:00,Unnamed: 1,252.903,21.14127232752303
1994-02-01 00:00:00,Unnamed: 1,194.065,-23.265046282566836
1994-03-01 00:00:00,Unnamed: 1,202.598,4.396980393167249
1994-04-01 00:00:00,Unnamed: 1,183.168,-9.590420438503832
1994-05-01 00:00:00,Unnamed: 1,141.247,-22.88663958770091
1994-06-01 00:00:00,Unnamed: 1,156.533,10.822176754196523
1994-07-01 00:00:00,Unnamed: 1,216.33,38.20089054704121
1994-08-01 00:00:00,Unnamed: 1,193.374,-10.611565663569555
1994-09-01 00:00:00,Unnamed: 1,180.928,-6.436232378706553
1994-10-01 00:00:00,Unnamed: 1,209.489,15.785837460205165
1994-11-01 00:00:00,Unnamed: 1,198.716,-5.142513449393526
1994-12-01 00:00:00,Unnamed: 1,194.468,-2.137724189295287
1995-01-01 00:00:00,Unnamed: 1,181.661,-6.5856593372688454
1995-02-01 00:00:00,Unnamed: 1,151.839,-16.41629188433401
1995-03-01 00:00:00,Unnamed: 1,181.966,19.841410968196584
1995-04-01 00:00:00,Unnamed: 1,202.143,11.088335183495811
1995-05-01 00:00:00,Unnamed: 1,174.718,-13.567128221110803
1995-06-01 00:00:00,Unnamed: 1,164.965,-5.5821380739248365
1995-07-01 00:00:00,Unnamed: 1,234.038,41.8713060346134
1995-08-01 00:00:00,Unnamed: 1,240.237,2.648715165913229
1995-09-01 00:00:00,Unnamed: 1,208.217,-13.328504768208049
1995-10-01 00:00:00,Unnamed: 1,227.438,9.23123472146845
1995-11-01 00:00:00,Unnamed: 1,203.6,-10.481098145428646
1995-12-01 00:00:00,Unnamed: 1,199.049,-2.2352652259331918
1996-01-01 00:00:00,Unnamed: 1,215.337,8.182909735793697
1996-02-01 00:00:00,Unnamed: 1,169.485,-21.293135875395297
1996-03-01 00:00:00,Unnamed: 1,196.558,15.973684986871973
1996-04-01 00:00:00,Unnamed: 1,149.671,-23.85402781876088
1996-05-01 00:00:00,Unnamed: 1,176.787,18.117070107101597
1996-06-01 00:00:00,Unnamed: 1,197.279,11.59135004270675
1996-07-01 00:00:00,Unnamed: 1,221.032,12.04030839572383
1996-08-01 00:00:00,Unnamed: 1,241.559,9.28689058597849
1996-09-01 00:00:00,Unnamed: 1,201.147,-16.729660248634914
1996-10-01 00:00:00,Unnamed: 1,241.017,19.82132470282927
1996-11-01 00:00:00,Unnamed: 1,230.3,-4.446574308036356
1996-12-01 00:00:00,Unnamed: 1,196.854,-14.522796352583589
